trip_id,stop_sequence,stop_id,stop_headsign,arrival_time,departure_time,pickup_type,drop_off_type,timepoint,shape_dist_traveled,fare_units_traveled
45958759,10,514,,20:30:00,20:30:00,1,2,0,10833,8720
45958759,9,37,,20:27:00,20:27:00,2,2,0,8111,5998
45958759,8,212,,20:24:00,20:24:00,2,2,0,6474,4361
45958759,7,693,,20:22:00,20:22:00,2,2,0,5415,3302
45958759,6,351598,,20:21:00,20:21:00,2,2,0,4695,2582
45958759,5,351601,,20:20:00,20:20:00,2,2,0,4365,2252
45958759,4,258,,20:19:00,20:19:00,2,2,0,3901,1788
45958759,3,506583,,20:18:00,20:18:00,2,2,0,3439,1326
45958759,2,359,,20:17:00,20:17:00,2,2,0,2802,689
45958759,1,739,,20:15:00,20:15:00,2,1,1,2113,0
45953748,39,842,,08:09:00,08:09:00,1,0,0,35529,35529
45953748,37,125932,,08:05:00,08:05:00,0,0,0,34878,34878
45953748,36,629,,08:03:00,08:03:00,0,0,1,34285,34285
45953748,35,943,,08:01:00,08:01:00,0,0,0,33416,33416
45953748,34,929,,08:00:00,08:00:00,0,0,0,32937,32937
45953748,33,849,,07:59:00,07:59:00,0,0,0,32314,32314
45953748,31,609,,07:58:00,07:58:00,0,0,0,31684,31684
45953748,30,473,,07:57:00,07:57:00,0,0,0,31152,31152
45953748,29,445,,07:56:00,07:56:00,0,0,0,30329,30329
45953748,28,568,,07:54:00,07:54:00,0,0,0,29415,29415
45953748,27,883,,07:52:00,07:52:00,0,0,0,28232,28232
45953748,26,1097,,07:50:00,07:50:00,0,0,0,26488,26488
45953748,25,1027,,07:49:00,07:49:00,0,0,0,25712,25712
45953748,24,955,,07:47:00,07:47:00,0,0,0,24146,24146
45953748,23,1073,,07:46:00,07:46:00,0,0,0,23309,23309
45953748,22,644923,,07:44:00,07:44:00,0,0,0,21416,21416
45953748,21,493,,07:41:00,07:41:00,0,0,0,19399,19399
45953748,20,357,,07:40:00,07:40:00,0,0,0,18267,18267
45953748,18,404055,,07:37:00,07:37:00,0,0,0,15495,15495
45953748,17,605,,07:33:00,07:33:00,0,0,0,12434,12434
45953748,15,585,,07:31:00,07:31:00,0,0,0,11599,11599
45953748,14,1016,,07:29:00,07:29:00,0,0,0,10735,10735
45953748,13,729,,07:28:00,07:28:00,0,0,0,10164,10164
45953748,12,318827,,07:27:00,07:27:00,0,0,0,9595,9595
45953748,11,288,,07:25:00,07:25:00,0,0,0,8356,8356
45953748,10,1090,,07:23:00,07:23:00,0,0,0,6889,6889
45953748,9,404054,,07:22:00,07:22:00,0,0,0,6078,6078
45953748,8,283,,07:21:00,07:21:00,0,0,0,4935,4935
45953748,7,191,,07:19:00,07:19:00,0,0,0,3619,3619
45953748,6,284,,07:17:00,07:17:00,0,0,0,2353,2353
45953748,4,318823,,07:16:00,07:16:00,0,0,0,1329,1329
45953748,3,734,,07:16:00,07:16:00,0,0,0,1045,1045
45953748,2,606,,07:15:00,07:15:00,0,0,0,530,530
45953748,1,162,,07:14:00,07:14:00,0,1,1,0,0
45958283,34,906,,15:58:00,15:58:00,1,0,0,47838,47838
45958283,33,506574,,15:52:00,15:52:00,0,0,1,46594,46594
45958283,32,102,,15:51:00,15:51:00,0,0,0,46238,46238
45958283,30,318844,,15:49:00,15:49:00,0,0,0,45445,45445
45958283,29,104,,15:47:00,15:47:00,0,0,0,44689,44689
45958283,28,326989,,15:42:00,15:42:00,0,0,0,39318,39318
45958283,26,670,,15:36:00,15:36:00,0,0,0,33255,33255
45958283,25,125965,,15:35:00,15:35:00,0,0,0,32484,32484
45958283,24,269,,15:34:00,15:34:00,0,0,0,31580,31580
45958283,23,196,,15:33:00,15:33:00,0,0,0,30627,30627
45958283,20,678,,15:22:00,15:22:00,0,0,0,22422,22422
45958283,19,993,,15:21:00,15:21:00,0,0,0,21811,21811
45958283,18,518,,15:19:00,15:19:00,0,0,0,20025,20025
45958283,17,272,,15:17:00,15:17:00,0,0,0,18750,18750
45958283,15,740,,15:13:00,15:13:00,0,0,0,15924,15924
45958283,14,240,,15:09:00,15:11:00,0,0,1,14214,14214
45958283,13,36,,15:03:00,15:03:00,0,0,0,9146,9146
45958283,12,238176,,14:59:00,14:59:00,0,0,0,6533,6533
45958283,10,644922,,14:58:00,14:58:00,0,0,0,5250,5250
45958283,9,644929,,14:57:00,14:57:00,0,0,0,4828,4828
45958283,8,464,,14:56:00,14:56:00,0,0,0,4368,4368
45958283,7,757,,14:55:00,14:55:00,0,0,0,3728,3728
45958283,6,994,,14:53:00,14:53:00,0,0,0,2533,2533
45958283,5,578,,14:52:00,14:52:00,0,0,0,2023,2023
45958283,4,603,,14:51:00,14:51:00,0,0,0,1582,1582
45958283,3,904,,14:49:00,14:49:00,0,0,0,805,805
45958283,1,125885,,14:47:00,14:47:00,0,1,1,0,0
45960531,53,238180,,22:10:00,22:10:00,1,0,0,38212,38212
45960531,51,435,,22:07:00,22:07:00,0,0,0,37123,37123
45960531,50,655,,22:05:00,22:05:00,0,0,0,36682,36682
45960531,49,318822,,22:03:00,22:03:00,0,0,0,35399,35399
45960531,48,238184,,22:02:00,22:02:00,0,0,0,34825,34825
45960531,46,971,,21:59:00,21:59:00,0,0,0,33346,33346
45960531,45,238183,,21:58:00,21:58:00,0,0,0,32535,32535
45960531,44,289,,21:55:00,21:55:00,0,0,0,30558,30558
45960531,43,261,,21:55:00,21:55:00,0,0,0,30339,30339
45960531,42,238191,,21:54:00,21:54:00,0,0,0,29668,29668
45960531,41,238181,,21:53:00,21:53:00,0,0,0,28705,28705
45960531,40,238196,,21:51:00,21:51:00,0,0,0,27079,27079
45960531,39,1019,,21:50:00,21:50:00,0,0,0,26237,26237
45960531,37,238185,,21:46:00,21:48:00,0,0,1,24841,24841
45960531,35,436,,21:45:00,21:45:00,0,0,0,24323,24323
45960531,34,1060,,21:44:00,21:44:00,0,0,0,23623,23623
45960531,33,973,,21:42:00,21:42:00,0,0,0,22968,22968
45960531,32,495,,21:42:00,21:42:00,0,0,0,22635,22635
45960531,31,10,,21:40:00,21:40:00,0,0,0,21998,21998
45960531,30,99,,21:39:00,21:39:00,0,0,0,21328,21328
45960531,28,457,,21:38:00,21:38:00,0,0,0,20239,20239
